ID	File name	condition	project	reference_condition	Strain	Mode of operation	Media	Limitation	C-source	Growth rate	DO	pH	Temperature	Read1	Read2
yl_001	20210204-YL-CN-1	Glucose_Nlimit	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-CN-1A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-CN-1A_2.fq.gz
yl_002	20210204-YL-CN-2	Glucose_Nlimit	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-CN-2A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-CN-2A_2.fq.gz
yl_003	20210204-YL-fill-1	Glucose_lowDO	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/20210204-YL-fill-1A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-fill-1A_2.fq.gz
yl_004	20210204-YL-fill-2	Glucose_lowDO	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/20210204-YL-fill-2A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-fill-2A_2.fq.gz
yl_005	20210204-YL-ref-1	Glucose_shaken_reference	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-ref-1A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-ref-1A_2.fq.gz
yl_006	20210204-YL-ref-2	Glucose_shaken_reference	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-ref-2A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-ref-2A_2.fq.gz
yl_007	M1-V02-1A	High glucose_mediumDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Medium	3	30	ylipolytic2025_repeat/M1-V02-1A_1.fq.gz	ylipolytic2025_repeat/M1-V02-1A_2.fq.gz
yl_008	M1-V03-1A	High glucose_lowDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Low	3	30	ylipolytic2025_repeat/M1-V03-1A_1.fq.gz	ylipolytic2025_repeat/M1-V03-1A_2.fq.gz
yl_009	M2-V01-1A	High glucose_highDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M2-V01-1A_1.fq.gz	ylipolytic2025_repeat/M2-V01-1A_2.fq.gz
yl_010	M2-V02-1A	High glucose_mediumDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Medium	6	30	ylipolytic2025_repeat/M2-V02-1A_1.fq.gz	ylipolytic2025_repeat/M2-V02-1A_2.fq.gz
