,File name,Condition,Project,Strain,Mode of operation,Media,Limitation,C-source,Growth rate,DO,pH,Temperature,Read1,Read2
0,20210204-YL-CN-1,Glucose_Nlimit,Batch_Shaken,W29,Shaken culture,Delft-N limited,Nitrogen,Glucose,0.3,High,6,30,ylipolytic2025_repeat/20210204-YL-CN-1A_1.fq.gz,ylipolytic2025_repeat/20210204-YL-CN-1A_2.fq.gz
1,20210204-YL-CN-2,Glucose_Nlimit,Batch_Shaken,W29,Shaken culture,Delft-N limited,Nitrogen,Glucose,0.3,High,6,30,ylipolytic2025_repeat/20210204-YL-CN-2A_1.fq.gz,ylipolytic2025_repeat/20210204-YL-CN-2A_2.fq.gz
2,20210204-YL-fill-1,Glucose_lowDO,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glucose,0.3,Low,6,30,ylipolytic2025_repeat/20210204-YL-fill-1A_1.fq.gz,ylipolytic2025_repeat/20210204-YL-fill-1A_2.fq.gz
3,20210204-YL-fill-2,Glucose_lowDO,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glucose,0.3,Low,6,30,ylipolytic2025_repeat/20210204-YL-fill-2A_1.fq.gz,ylipolytic2025_repeat/20210204-YL-fill-2A_2.fq.gz
4,20210204-YL-ref-1,Glucose_shaken_reference,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glucose,0.3,High,6,30,ylipolytic2025_repeat/20210204-YL-ref-1A_1.fq.gz,ylipolytic2025_repeat/20210204-YL-ref-1A_2.fq.gz
5,20210204-YL-ref-2,Glucose_shaken_reference,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glucose,0.3,High,6,30,ylipolytic2025_repeat/20210204-YL-ref-2A_1.fq.gz,ylipolytic2025_repeat/20210204-YL-ref-2A_2.fq.gz
6,M1-V01-1A,High glucose_highDO_pH3,Batch_Shaken,W29,Shaken culture,Delft,High Carbon,Glucose,0.3,High,3,30,,
7,M1-V02-1A,High glucose_mediumDO_pH3,Batch_Shaken,W29,Shaken culture,Delft,High Carbon,Glucose,0.3,Medium,3,30,ylipolytic2025_repeat/M1-V02-1A_1.fq.gz,ylipolytic2025_repeat/M1-V02-1A_2.fq.gz
8,M1-V03-1A,High glucose_lowDO_pH3,Batch_Shaken,W29,Shaken culture,Delft,High Carbon,Glucose,0.3,Low,3,30,ylipolytic2025_repeat/M1-V03-1A_1.fq.gz,ylipolytic2025_repeat/M1-V03-1A_2.fq.gz
9,M2-V01-1A,High glucose_highDO_pH6,Batch_Shaken,W29,Shaken culture,Delft,High Carbon,Glucose,0.3,High,6,30,ylipolytic2025_repeat/M2-V01-1A_1.fq.gz,ylipolytic2025_repeat/M2-V01-1A_2.fq.gz
10,M2-V02-1A,High glucose_mediumDO_pH6,Batch_Shaken,W29,Shaken culture,Delft,High Carbon,Glucose,0.3,Medium,6,30,ylipolytic2025_repeat/M2-V02-1A_1.fq.gz,ylipolytic2025_repeat/M2-V02-1A_2.fq.gz
11,M2-V03-1A,High glucose_lowDO_pH6,Batch_Shaken,W29,Shaken culture,Delft,High Carbon,Glucose,0.3,Low,6,30,ylipolytic2025_repeat/M2-V03-1A_1.fq.gz,ylipolytic2025_repeat/M2-V03-1A_2.fq.gz
12,M3-V01-1A,Glucose_Nlimit_pH3,Batch_Shaken,W29,Shaken culture,Delft-N limited,Nitrogen,Glucose,0.3,High,3,30,ylipolytic2025_repeat/M3-V01-1A_1.fq.gz,ylipolytic2025_repeat/M3-V01-1A_2.fq.gz
13,M4-V01-1A,Glucose_Nlimit_pH6,Batch_Shaken,W29,Shaken culture,Delft-N limited,Nitrogen,Glucose,0.3,High,6,30,ylipolytic2025_repeat/M4-V01-1A_1.fq.gz,ylipolytic2025_repeat/M4-V01-1A_2.fq.gz
14,M5-V01-1A,Glucose_Plimit_pH3,Batch_Shaken,W29,Shaken culture,Delft-P limited,Phosphorus,Glucose,0.3,High,3,30,,
15,M6-V01-1A,Glucose_Plimit_pH6,Batch_Shaken,W29,Shaken culture,Delft-P limited,Phosphorus,Glucose,0.3,High,6,30,ylipolytic2025_repeat/M6-V01-1A_1.fq.gz,ylipolytic2025_repeat/M6-V01-1A_2.fq.gz
16,M7-V01-1A,Glucose_Mglimit_pH3,Batch_Shaken,W29,Shaken culture,Delft-Mg limited,Magnesium,Glucose,0.3,High,3,30,ylipolytic2025_repeat/M7-V01-1A_1.fq.gz,ylipolytic2025_repeat/M7-V01-1A_2.fq.gz
17,M8-V01-1A,Glucose_Mglimit_pH6,Batch_Shaken,W29,Shaken culture,Delft-Mg limited,Magnesium,Glucose,0.3,High,6,30,ylipolytic2025_repeat/M8-V01-1A_1.fq.gz,ylipolytic2025_repeat/M8-V01-1A_2.fq.gz
18,M9-V01-1A,Glucose_highDO_pH3,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glucose,0.3,High,3,30,ylipolytic2025_repeat/M9-V01-1A_1.fq.gz,ylipolytic2025_repeat/M9-V01-1A_2.fq.gz
19,M9-V02-1A,Glucose_mediumDO_pH3,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glucose,0.3,Medium,3,30,ylipolytic2025_repeat/M9-V02-1A_1.fq.gz,ylipolytic2025_repeat/M9-V02-1A_2.fq.gz
20,M9-V03-1A,Glucose_lowDO_pH3,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glucose,0.3,Low,3,30,ylipolytic2025_repeat/M9-V03-1A_1.fq.gz,ylipolytic2025_repeat/M9-V03-1A_2.fq.gz
21,M10-V01-1A,Glucose_highDO_ph6,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glucose,0.3,High,6,30,ylipolytic2025_repeat/M10-V01-1A_1.fq.gz,ylipolytic2025_repeat/M10-V01-1A_2.fq.gz
22,M10-V02-1A,Glucose_mediumDO_pH6,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glucose,0.3,Medium,6,30,ylipolytic2025_repeat/M10-V02-1A_1.fq.gz,ylipolytic2025_repeat/M10-V02-1A_2.fq.gz
23,M10-V03-1A,Glucose_lowDO_pH6,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glucose,0.3,Low,6,30,ylipolytic2025_repeat/M10-V03-1A_1.fq.gz,ylipolytic2025_repeat/M10-V03-1A_2.fq.gz
24,M11-V01-1A,High glycerol_pH6,Batch_Shaken,W29,Shaken culture,Delft,High Carbon,Glycerol,0.3,High,6,30,ylipolytic2025_repeat/M11-V01-1A_1.fq.gz,ylipolytic2025_repeat/M11-V01-1A_2.fq.gz
25,M12-V01-1A,Glycerol_Nlimit_pH6,Batch_Shaken,W29,Shaken culture,Delft-N limited,Nitrogen,Glycerol,0.3,High,6,30,ylipolytic2025_repeat/M12-V01-1A_1.fq.gz,ylipolytic2025_repeat/M12-V01-1A_2.fq.gz
26,M13-V01-1A,Glycerol_Plimit_pH6,Batch_Shaken,W29,Shaken culture,Delft-P limited,Phosphorus,Glycerol,0.3,High,6,30,ylipolytic2025_repeat/M13-V01-1A_1.fq.gz,ylipolytic2025_repeat/M13-V01-1A_2.fq.gz
27,M14-V01-1A,Glycerol_Mglimit_pH6,Batch_Shaken,W29,Shaken culture,Delft-Mg limited,Magnesium,Glycerol,0.3,High,6,30,,
28,M15-V01-1A,Glycerol_highDO_pH6,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glycerol,0.3,High,6,30,ylipolytic2025_repeat/M15-V01-1A_1.fq.gz,ylipolytic2025_repeat/M15-V01-1A_2.fq.gz
29,M15-V03-1A,Glycerol_lowDO_pH6,Batch_Shaken,W29,Shaken culture,Delft,Carbon,Glycerol,0.3,Low,6,30,ylipolytic2025_repeat/M15-V03-1A_1.fq.gz,ylipolytic2025_repeat/M15-V03-1A_2.fq.gz
