	File name	condition	project	reference_condition	Strain	Mode of operation	Media	Limitation	C-source	Growth rate	DO	pH	Temperature	Read1	Read2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_replicate_correlations
yl_001	20210204-YL-CN-1	Glucose_Nlimit	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-CN-1A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-CN-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Nlimit	True
yl_002	20210204-YL-CN-2	Glucose_Nlimit	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-CN-2A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-CN-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Nlimit	True
yl_003	20210204-YL-fill-1	Glucose_lowDO	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/20210204-YL-fill-1A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-fill-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_lowDO	True
yl_004	20210204-YL-fill-2	Glucose_lowDO	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/20210204-YL-fill-2A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-fill-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_lowDO	True
yl_005	20210204-YL-ref-1	Glucose_shaken_reference	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-ref-1A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-ref-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_shaken_reference	True
yl_006	20210204-YL-ref-2	Glucose_shaken_reference	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/20210204-YL-ref-2A_1.fq.gz	ylipolytic2025_repeat/20210204-YL-ref-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_shaken_reference	True
yl_007	M1-V02-1A	High glucose_mediumDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Medium	3	30	ylipolytic2025_repeat/M1-V02-1A_1.fq.gz	ylipolytic2025_repeat/M1-V02-1A_2.fq.gz	True	True	True	Batch_Shaken:High glucose_mediumDO_pH3	True
yl_008	M1-V03-1A	High glucose_lowDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Low	3	30	ylipolytic2025_repeat/M1-V03-1A_1.fq.gz	ylipolytic2025_repeat/M1-V03-1A_2.fq.gz	True	True	True	Batch_Shaken:High glucose_lowDO_pH3	True
yl_009	M2-V01-1A	High glucose_highDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M2-V01-1A_1.fq.gz	ylipolytic2025_repeat/M2-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:High glucose_highDO_pH6	True
yl_010	M2-V02-1A	High glucose_mediumDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Medium	6	30	ylipolytic2025_repeat/M2-V02-1A_1.fq.gz	ylipolytic2025_repeat/M2-V02-1A_2.fq.gz	True	True	True	Batch_Shaken:High glucose_mediumDO_pH6	True
yl_011	M2-V03-1A	High glucose_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/M2-V03-1A_1.fq.gz	ylipolytic2025_repeat/M2-V03-1A_2.fq.gz	True	True	True	Batch_Shaken:High glucose_lowDO_pH6	True
yl_012	M3-V01-1A	Glucose_Nlimit_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M3-V01-1A_1.fq.gz	ylipolytic2025_repeat/M3-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Nlimit_pH3	True
yl_013	M4-V01-1A	Glucose_Nlimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M4-V01-1A_1.fq.gz	ylipolytic2025_repeat/M4-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Nlimit_pH6	True
yl_014	M6-V01-1A	Glucose_Plimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-P limited	Phosphorus	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M6-V01-1A_1.fq.gz	ylipolytic2025_repeat/M6-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Plimit_pH6	True
yl_015	M7-V01-1A	Glucose_Mglimit_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-Mg limited	Magnesium	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M7-V01-1A_1.fq.gz	ylipolytic2025_repeat/M7-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Mglimit_pH3	True
yl_016	M8-V01-1A	Glucose_Mglimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-Mg limited	Magnesium	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M8-V01-1A_1.fq.gz	ylipolytic2025_repeat/M8-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Mglimit_pH6	True
yl_017	M9-V01-1A	Glucose_highDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M9-V01-1A_1.fq.gz	ylipolytic2025_repeat/M9-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_highDO_pH3	True
yl_018	M9-V02-1A	Glucose_mediumDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Medium	3	30	ylipolytic2025_repeat/M9-V02-1A_1.fq.gz	ylipolytic2025_repeat/M9-V02-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_mediumDO_pH3	True
yl_019	M9-V03-1A	Glucose_lowDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	3	30	ylipolytic2025_repeat/M9-V03-1A_1.fq.gz	ylipolytic2025_repeat/M9-V03-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_lowDO_pH3	True
