	File name	condition	project	reference_condition	Strain	Mode of operation	Media	Limitation	C-source	Growth rate	DO	pH	Temperature	Read1	Read2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_replicate_correlations
yl_088	PD017 A1 S07 #2	µ0.1_DO0	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	0	6	30	ylipolytic2025_repeat/PD017A1S071A_1.fq.gz	ylipolytic2025_repeat/PD017A1S071A_2.fq.gz	True	True	True	O2_oscillation_0.1:µ0.1_DO0	True
yl_089	PD017 A3 S02 #1	µ0.2_DO50	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	50	6	30	ylipolytic2025_repeat/PD017A1S072A_1.fq.gz	ylipolytic2025_repeat/PD017A1S072A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO50	True
yl_090	PD017 A3 S02 #2	µ0.2_DO50	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	50	6	30	ylipolytic2025_repeat/PD017A3S021A_1.fq.gz	ylipolytic2025_repeat/PD017A3S021A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO50	True
yl_091	PD017 A3 S03 #1	µ0.2_DO25	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	25	6	30	ylipolytic2025_repeat/PD017A3S022A_1.fq.gz	ylipolytic2025_repeat/PD017A3S022A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO25	True
yl_092	PD017 A3 S03 #2	µ0.2_DO25	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	25	6	30	ylipolytic2025_repeat/PD017A3S031A_1.fq.gz	ylipolytic2025_repeat/PD017A3S031A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO25	True
yl_093	PD017 A3 S04 #1	µ0.2_DO10	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	10	6	30	ylipolytic2025_repeat/PD017A3S032A_1.fq.gz	ylipolytic2025_repeat/PD017A3S032A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO10	True
yl_094	PD017 A3 S04 #2	µ0.2_DO10	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	10	6	30	ylipolytic2025_repeat/PD017A3S041A_1.fq.gz	ylipolytic2025_repeat/PD017A3S041A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO10	True
yl_095	PD017 A3 S05 #1	µ0.2_DO5	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	5	6	30	ylipolytic2025_repeat/PD017A3S042A_1.fq.gz	ylipolytic2025_repeat/PD017A3S042A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO5	True
yl_096	PD017 A3 S05 #2	µ0.2_DO5	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	5	6	30	ylipolytic2025_repeat/PD017A3S051A_1.fq.gz	ylipolytic2025_repeat/PD017A3S051A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO5	True
yl_097	PD017 A3 S06 #1	µ0.2_DO2.5	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	2.5	6	30	ylipolytic2025_repeat/PD017A3S052A_1.fq.gz	ylipolytic2025_repeat/PD017A3S052A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO2.5	True
yl_098	PD017 A3 S06 #2	µ0.2_DO2.5	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	2.5	6	30	ylipolytic2025_repeat/PD017A3S061A_1.fq.gz	ylipolytic2025_repeat/PD017A3S061A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO2.5	True
yl_099	PD017 A3 S07 #1	µ0.2_DO0	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	0	6	30	ylipolytic2025_repeat/PD017A3S062A_1.fq.gz	ylipolytic2025_repeat/PD017A3S062A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO0	True
yl_100	PD017 A3 S07 #2	µ0.2_DO0	O2_oscillation_0.2	µ0.2_DO10	W29	Continuous	Delft	Carbon	Glucose	0.2	0	6	30	ylipolytic2025_repeat/PD017A3S071A_1.fq.gz	ylipolytic2025_repeat/PD017A3S071A_2.fq.gz	True	True	True	O2_oscillation_0.2:µ0.2_DO0	True
yl_101	PD019 A1 S02 #1	µ0.05_DO50	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	50	6	30	ylipolytic2025_repeat/PD017A3S072A_1.fq.gz	ylipolytic2025_repeat/PD017A3S072A_2.fq.gz	True	True	True	O2_oscillation_0.05:µ0.05_DO50	True
yl_102	PD019 A1 S02 #2	µ0.05_DO50	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	50	6	30	ylipolytic2025_repeat/PD019A1S021A_1.fq.gz	ylipolytic2025_repeat/PD019A1S021A_2.fq.gz	True	True	True	O2_oscillation_0.05:µ0.05_DO50	True
yl_105	PD019 A1 S04 #1	µ0.05_DO10	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	10	6	30	ylipolytic2025_repeat/PD019A1S032A_1.fq.gz	ylipolytic2025_repeat/PD019A1S032A_2.fq.gz	True	True	True	O2_oscillation_0.05:µ0.05_DO10	True
yl_106	PD019 A1 S04 #2	µ0.05_DO10	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	10	6	30	ylipolytic2025_repeat/PD019A1S041A_1.fq.gz	ylipolytic2025_repeat/PD019A1S041A_2.fq.gz	True	True	True	O2_oscillation_0.05:µ0.05_DO10	True
yl_107	PD019 A1 S05 #1	µ0.05_DO5	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	5	6	30	ylipolytic2025_repeat/PD019A1S042A_1.fq.gz	ylipolytic2025_repeat/PD019A1S042A_2.fq.gz	True	True	True	O2_oscillation_0.05:µ0.05_DO5	True
yl_108	PD019 A1 S05 #2	µ0.05_DO5	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	5	6	30	ylipolytic2025_repeat/PD019A1S051A_1.fq.gz	ylipolytic2025_repeat/PD019A1S051A_2.fq.gz	True	True	True	O2_oscillation_0.05:µ0.05_DO5	True
yl_109	PD019 A1 S06 #1	µ0.05_DO2.5	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	2.5	6	30	ylipolytic2025_repeat/PD019A1S052A_1.fq.gz	ylipolytic2025_repeat/PD019A1S052A_2.fq.gz	True	True	True	O2_oscillation_0.05:µ0.05_DO2.5	True
yl_110	PD019 A1 S06 #2	µ0.05_DO2.5	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	2.5	6	30	ylipolytic2025_repeat/PD019A1S061A_1.fq.gz	ylipolytic2025_repeat/PD019A1S061A_2.fq.gz	True	True	True	O2_oscillation_0.05:µ0.05_DO2.5	True
yl_111	PD019 A1 S07 #1	µ0.05_DO0	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	0	6	30	ylipolytic2025_repeat/PD019A1S062A_1.fq.gz	ylipolytic2025_repeat/PD019A1S062A_2.fq.gz	True	True	True	O2_oscillation_0.05:µ0.05_DO0	True
yl_112	PD019 A1 S07 #2	µ0.05_DO0	O2_oscillation_0.05	µ0.05_DO10	W29	Continuous	Delft	Carbon	Glucose	0.05	0	6	30	ylipolytic2025_repeat/PD019A1S071A_1.fq.gz	ylipolytic2025_repeat/PD019A1S071A_2.fq.gz	True	True	True	O2_oscillation_0.05:µ0.05_DO0	True
yl_114	R1_S02_#2	CO2_10%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S02_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S02_#2A_2.fq.gz	True	True	True	CO2_oscillation:CO2_10%	True
yl_115	R1_S03_#1	CO2_20%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S03_#1A_1.fq.gz	ylipolytic2025_repeat/R1_S03_#1A_2.fq.gz	True	True	True	CO2_oscillation:CO2_20%	True
yl_116	R1_S03_#2	CO2_20%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S03_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S03_#2A_2.fq.gz	True	True	True	CO2_oscillation:CO2_20%	True
yl_117	R1_S04_#1	CO2_30%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S04_#1A_1.fq.gz	ylipolytic2025_repeat/R1_S04_#1A_2.fq.gz	True	True	True	CO2_oscillation:CO2_30%	True
yl_118	R1_S04_#2	CO2_30%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S04_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S04_#2A_2.fq.gz	True	True	True	CO2_oscillation:CO2_30%	True
yl_119	R1_S05_#1	CO2_40%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S05_#1A_1.fq.gz	ylipolytic2025_repeat/R1_S05_#1A_2.fq.gz	True	True	True	CO2_oscillation:CO2_40%	True
yl_120	R1_S05_#2	CO2_40%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S05_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S05_#2A_2.fq.gz	True	True	True	CO2_oscillation:CO2_40%	True
yl_121	R1_S06_#1	CO2_50%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S06_#1A_1.fq.gz	ylipolytic2025_repeat/R1_S06_#1A_2.fq.gz	True	True	True	CO2_oscillation:CO2_50%	True
yl_122	R1_S06_#2	CO2_50%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S06_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S06_#2A_2.fq.gz	True	True	True	CO2_oscillation:CO2_50%	True
yl_123	R1_S08_#1	CO2_0%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S08_#1A_1.fq.gz	ylipolytic2025_repeat/R1_S08_#1A_2.fq.gz	True	True	True	CO2_oscillation:CO2_0%	True
yl_124	R1_S08_#2	CO2_0%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R1_S08_#2A_1.fq.gz	ylipolytic2025_repeat/R1_S08_#2A_2.fq.gz	True	True	True	CO2_oscillation:CO2_0%	True
yl_125	R3_S02_#1	CO2_10%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S02_#1A_1.fq.gz	ylipolytic2025_repeat/R3_S02_#1A_2.fq.gz	True	True	True	CO2_oscillation:CO2_10%	True
yl_126	R3_S02_#2	CO2_10%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S02_#2A_1.fq.gz	ylipolytic2025_repeat/R3_S02_#2A_2.fq.gz	True	True	True	CO2_oscillation:CO2_10%	True
yl_127	R3_S04_#1	CO2_30%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S04_#1A_1.fq.gz	ylipolytic2025_repeat/R3_S04_#1A_2.fq.gz	True	True	True	CO2_oscillation:CO2_30%	True
yl_128	R3_S04_#2	CO2_30%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S04_#2A_1.fq.gz	ylipolytic2025_repeat/R3_S04_#2A_2.fq.gz	True	True	True	CO2_oscillation:CO2_30%	True
yl_129	R3_S05_#1	CO2_40%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S05_#1A_1.fq.gz	ylipolytic2025_repeat/R3_S05_#1A_2.fq.gz	True	True	True	CO2_oscillation:CO2_40%	True
yl_130	R3_S05_#2	CO2_40%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S05_#2A_1.fq.gz	ylipolytic2025_repeat/R3_S05_#2A_2.fq.gz	True	True	True	CO2_oscillation:CO2_40%	True
yl_131	R3_S06_#1	CO2_50%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S06_#1A_1.fq.gz	ylipolytic2025_repeat/R3_S06_#1A_2.fq.gz	True	True	True	CO2_oscillation:CO2_50%	True
yl_132	R3_S06_#2	CO2_50%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S06_#2A_1.fq.gz	ylipolytic2025_repeat/R3_S06_#2A_2.fq.gz	True	True	True	CO2_oscillation:CO2_50%	True
yl_133	R3_S08_#1	CO2_0%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S08_#1A_1.fq.gz	ylipolytic2025_repeat/R3_S08_#1A_2.fq.gz	True	True	True	CO2_oscillation:CO2_0%	True
yl_134	R3_S08_#2	CO2_0%	CO2_oscillation	CO2_20%	W29	Continuous	Delft	None	Glucose	0.1	25	N.A	30	ylipolytic2025_repeat/R3_S08_#2A_1.fq.gz	ylipolytic2025_repeat/R3_S08_#2A_2.fq.gz	True	True	True	CO2_oscillation:CO2_0%	True
