Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
yl_126_2	yl_126_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12518977.0	0.0	18-100	54.0	37.38851456386574	99.07842549754665	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_127_1	yl_127_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12510191.0	0.0	18-100	53.0	33.64401576531978	99.16823620039055	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_127_2	yl_127_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12510191.0	0.0	18-100	53.0	34.6067377878514	99.09259371019995	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_128_1	yl_128_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10190570.0	0.0	18-100	53.0	41.507963086142205	99.15176521038568	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_128_2	yl_128_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10190570.0	0.0	18-100	53.0	42.35090188177274	99.09774723101847	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_129_1	yl_129_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12308634.0	0.0	18-100	53.0	36.68091749313812	99.15417535365825	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_129_2	yl_129_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12308634.0	0.0	18-100	53.0	37.04635367350815	99.08809344725012	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_130_1	yl_130_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12549563.0	0.0	18-100	53.0	36.78794850016184	99.1635063308579	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_130_2	yl_130_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12549563.0	0.0	18-100	53.0	37.4317169013521	99.07507886928015	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_131_1	yl_131_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12529833.0	0.0	18-100	53.0	34.855195653441776	99.17589516157159	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_131_2	yl_131_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12529833.0	0.0	18-100	53.0	35.56655070970853	99.08332760700003	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
