Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
yl_039_2	yl_039_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18301001.0	0.0	18-100	54.0	36.74296901622165	99.00869772096073	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_040_1	yl_040_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18245504.0	0.0	18-100	55.0	34.05115220264265	99.16357465378869	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_040_2	yl_040_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18245504.0	0.0	18-100	55.0	36.595290251652905	99.01074544172636	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_041_1	yl_041_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15991531.0	0.0	18-100	55.0	36.24423324691194	99.15504700581826	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_041_2	yl_041_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15991531.0	0.0	18-100	54.0	39.599004949918466	98.99237077425545	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_042_1	yl_042_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15700357.0	0.0	18-100	54.0	36.88314271680411	99.13818252667758	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_042_2	yl_042_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15700357.0	0.0	18-100	54.0	40.35297894113762	98.97358512293701	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_043_1	yl_043_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18217565.0	0.0	18-100	54.0	34.42475053901975	99.15693485929651	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_043_2	yl_043_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18217565.0	0.0	18-100	54.0	37.07717043927227	99.01895363074044	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_044_1	yl_044_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15852891.0	0.0	18-100	54.0	35.858735145110224	99.1489508128202	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_044_2	yl_044_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15852891.0	0.0	18-100	54.0	39.14698649082721	98.98866963760743	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_045_1	yl_045_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18164886.0	0.0	18-100	54.0	34.69995383228095	99.15120216003558	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_045_2	yl_045_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18164886.0	0.0	18-100	54.0	37.33407802722202	98.99510076749175	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_046_1	yl_046_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15936229.0	0.0	18-100	54.0	34.94876112667538	99.14896453859944	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_046_2	yl_046_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15936229.0	0.0	18-100	54.0	37.10088891633795	98.9996807902296	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_047_1	yl_047_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18406698.0	0.0	18-100	54.0	33.22016841040881	99.16240903175573	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_047_2	yl_047_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18406698.0	0.0	18-100	54.0	35.62689820690527	99.01454742181352	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_048_1	yl_048_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17105782.0	0.0	18-100	54.0	35.879087206769015	99.15338755047854	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_048_2	yl_048_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17105782.0	0.0	18-100	54.0	38.253805409966404	98.99643407123978	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_049_1	yl_049_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17860863.0	0.0	18-100	54.0	33.49832163709994	99.13907989776305	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_049_2	yl_049_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17860863.0	0.0	18-100	54.0	36.74696682411269	98.97311893607828	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_050_1	yl_050_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15849674.0	0.0	18-100	54.0	34.576129351673444	99.14700781858352	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_050_2	yl_050_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15849674.0	0.0	18-100	54.0	37.722489329787436	98.98394970142604	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_051_1	yl_051_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17823867.0	0.0	18-100	54.0	31.963521673751462	99.14129273967316	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_051_2	yl_051_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17823867.0	0.0	18-100	54.0	34.713812314737034	99.01464266985386	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_052_1	yl_052_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15901108.0	0.0	18-100	54.0	32.81201037020992	99.14245963237279	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_052_2	yl_052_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15901108.0	0.0	18-100	54.0	36.1893770160399	99.00664129820387	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_053_1	yl_053_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13421504.0	0.0	18-100	53.0	37.89065066431848	99.12516287295374	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_053_2	yl_053_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13421504.0	0.0	18-100	53.0	41.53965460385491	98.98657721221109	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_054_1	yl_054_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14631639.0	0.0	18-100	53.0	36.656030059525115	99.12559078309683	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_054_2	yl_054_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14631639.0	0.0	18-100	53.0	39.791254534828404	99.00294614977857	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_055_1	yl_055_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16793849.0	0.0	18-100	53.0	35.108546259778684	99.14150960866684	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_055_2	yl_055_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16793849.0	0.0	18-100	53.0	38.71248998704988	99.00297531554558	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_056_1	yl_056_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14747201.0	0.0	18-100	53.0	37.24187297904139	99.1255723713266	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_056_2	yl_056_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14747201.0	0.0	18-100	53.0	41.13777898318692	98.97622497991314	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_057_1	yl_057_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15789525.0	0.0	18-100	54.0	36.68937844455656	99.13635793350338	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_057_2	yl_057_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15789525.0	0.0	18-100	54.0	39.951244627314544	98.99357694420827	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_058_1	yl_058_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14969254.0	0.0	18-100	54.0	37.51197812321202	99.1285175600601	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_058_2	yl_058_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14969254.0	0.0	18-100	54.0	41.21149246675661	98.96979047853688	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_059_1	yl_059_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15811144.0	0.0	18-100	54.0	36.0909336459745	99.13802631865221	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_059_2	yl_059_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15811144.0	0.0	18-100	54.0	39.3034319748103	98.98389895127133	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_060_1	yl_060_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17045012.0	0.0	18-100	54.0	35.30737151246826	99.13649846653085	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_060_2	yl_060_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17045012.0	0.0	18-100	54.0	39.571433259105774	98.969074941103	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_061_1	yl_061_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16687940.0	0.0	18-100	54.0	35.885157016991734	99.14415368223999	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_061_2	yl_061_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16687940.0	0.0	18-100	54.0	39.75632677505565	98.98910950063339	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_062_1	yl_062_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15858087.0	0.0	18-100	54.0	35.782580198046624	99.14536602050424	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_062_2	yl_062_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15858087.0	0.0	18-100	54.0	38.766722498980535	98.99834261219527	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_063_1	yl_063_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12142880.0	0.0	20-100	55.0	41.443020791983166	99.20457321492101	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_063_2	yl_063_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12142880.0	0.0	20-100	55.0	38.097054770777035	98.9546702265031	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_064_1	yl_064_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12104626.0	0.0	20-100	55.0	42.20028555027986	99.2459719118955	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_064_2	yl_064_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12104626.0	0.0	20-100	55.0	38.496547394234184	99.19456247553622	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_065_1	yl_065_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12115802.0	0.0	18-100	55.0	40.37247689667556	99.18207940341053	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_065_2	yl_065_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12115802.0	0.0	18-100	55.0	37.996076069613395	99.09521020564713	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_066_1	yl_066_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12045243.0	0.0	18-100	55.0	40.728368589402535	99.17573169756724	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_066_2	yl_066_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12045243.0	0.0	18-100	55.0	37.692777452985	99.10342198990921	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_067_1	yl_067_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12125927.0	0.0	20-100	55.0	43.367057459393216	99.2030676087692	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_067_2	yl_067_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12125927.0	0.0	20-100	55.0	39.859509016241944	98.96060746530966	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_068_1	yl_068_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12058303.0	0.0	20-100	55.0	40.26763081146026	99.2522665917418	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_068_2	yl_068_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12058303.0	0.0	20-100	55.0	37.871560253714485	99.18200031961379	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_069_1	yl_069_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12084011.0	0.0	20-100	55.0	41.87253401517302	99.25774165548178	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_069_2	yl_069_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12084011.0	0.0	20-100	55.0	38.07444703683356	99.19575280095326	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_070_1	yl_070_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12053348.0	0.0	20-100	55.0	40.294711113116215	99.20093089488498	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_070_2	yl_070_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12053348.0	0.0	20-100	55.0	38.674716904884335	98.97358841709374	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_071_1	yl_071_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12137966.0	0.0	20-100	55.0	39.181639605876	99.25881766351957	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_071_2	yl_071_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12137966.0	0.0	20-100	55.0	37.74437828635339	99.18907780759973	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_072_1	yl_072_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12024982.0	0.0	20-100	55.0	41.26230554685412	99.20086782666286	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_072_2	yl_072_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12024982.0	0.0	20-100	55.0	39.04677635194865	98.9576017660567	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_073_1	yl_073_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12093051.0	0.0	20-100	55.0	35.447244658762	99.23263666050859	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_073_2	yl_073_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12093051.0	0.0	20-100	55.0	30.591460401314468	98.96776057588775	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_074_1	yl_074_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12045114.0	0.0	18-100	55.0	44.26997440165415	99.19677057435904	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_074_2	yl_074_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12045114.0	0.0	18-100	55.0	32.95720811680412	99.15221972992535	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_075_1	yl_075_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11167819.0	0.0	18-100	55.0	46.6175981193262	99.19594774951135	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_075_2	yl_075_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11167819.0	0.0	18-100	55.0	32.984483514548856	99.15178209818765	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_076_1	yl_076_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10393327.0	0.0	18-100	55.0	45.20194683004124	99.1887614043126	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_076_2	yl_076_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10393327.0	0.0	18-100	55.0	31.966645479594863	99.14062378678166	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_077_1	yl_077_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12038813.0	0.0	18-100	55.0	46.972579638445374	99.17589499895048	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_077_2	yl_077_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12038813.0	0.0	18-100	55.0	37.026427324015245	99.11072561721824	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_078_1	yl_078_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12107883.0	0.0	18-100	55.0	41.337348010584876	99.1835456289097	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_078_2	yl_078_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12107883.0	0.0	18-100	55.0	30.38769287897439	99.13917057176717	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_079_1	yl_079_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12042558.0	0.0	20-100	55.0	42.05597643954963	99.2289741099856	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_079_2	yl_079_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12042558.0	0.0	20-100	55.0	30.631688533006095	99.0131397332693	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_080_1	yl_080_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12123947.0	0.0	20-100	55.0	36.3022264376715	99.2570454159854	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_080_2	yl_080_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12123947.0	0.0	20-100	55.0	29.124413207406796	99.20358675272995	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_081_1	yl_081_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12022556.0	0.0	20-100	55.0	34.03304508340447	99.22440269772918	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_081_2	yl_081_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12022556.0	0.0	20-100	55.0	28.74011847883275	98.99918153843493	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_082_1	yl_082_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12147859.0	0.0	18-100	55.0	36.25463654782593	99.18189402758132	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_082_2	yl_082_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12147859.0	0.0	18-100	55.0	30.374855741032942	99.13055197627828	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_083_1	yl_083_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12146129.0	0.0	18-100	55.0	35.50457531724943	99.18707515785482	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_083_2	yl_083_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12146129.0	0.0	18-100	55.0	29.754021096450938	99.13826520367107	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_084_1	yl_084_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11209708.0	0.0	20-100	54.0	34.46094620745678	99.11962470387274	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_084_2	yl_084_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11209708.0	0.0	20-100	54.0	36.07314809959355	99.11193226442651	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_085_1	yl_085_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13660495.0	0.0	18-100	54.0	32.509177407862225	99.19481878218907	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_085_2	yl_085_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13660495.0	0.0	18-100	54.0	34.29775659093027	99.0764249758153	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_086_1	yl_086_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13580549.0	0.0	18-100	54.0	31.828382033773128	99.19213295427159	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_086_2	yl_086_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13580549.0	0.0	18-100	53.0	33.65473337811552	99.08905980163247	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_087_1	yl_087_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14297011.0	0.0	18-100	54.0	30.820664289671164	99.20048882944833	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_087_2	yl_087_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14297011.0	0.0	18-100	54.0	32.66074159935693	99.09732656707055	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_088_1	yl_088_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16528411.0	0.0	18-100	54.0	31.61995190991621	99.19614426335357	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_088_2	yl_088_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16528411.0	0.0	18-100	54.0	34.682523656441674	99.08557561885411	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_089_1	yl_089_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15507440.0	0.0	18-100	54.0	33.18479432334856	99.20174419504444	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_089_2	yl_089_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15507440.0	0.0	18-100	54.0	35.279215661768404	99.0913954850059	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_090_1	yl_090_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13580874.0	0.0	18-100	54.0	36.01613342500618	99.18205706053969	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_090_2	yl_090_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13580874.0	0.0	18-100	54.0	37.40174766594921	99.05155647567307	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_091_1	yl_091_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11581845.0	0.0	18-100	55.0	38.78524039239243	99.17395820786757	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_091_2	yl_091_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11581845.0	0.0	18-100	54.0	38.64244112734775	99.06459653017286	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_092_1	yl_092_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13533818.0	0.0	18-100	55.0	36.90485752318067	99.17138977338102	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_092_2	yl_092_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13533818.0	0.0	18-100	54.0	38.236810706794394	99.04812448342368	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_093_1	yl_093_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11640640.0	0.0	18-100	54.0	37.8995516149202	99.16789420512961	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_093_2	yl_093_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11640640.0	0.0	18-100	54.0	39.448006383408234	99.05242426533249	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_094_1	yl_094_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12406947.0	0.0	18-100	54.0	38.366300779996976	99.15743929590414	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_094_2	yl_094_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12406947.0	0.0	18-100	54.0	40.24883913205093	99.04683029596241	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_095_1	yl_095_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13505637.0	0.0	18-100	54.0	40.0128346513964	99.16760490452987	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_095_2	yl_095_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13505637.0	0.0	18-100	54.0	41.374025266598416	99.05613204323498	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_096_1	yl_096_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11610247.0	0.0	18-100	55.0	41.31412086131566	99.16604737177425	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_096_2	yl_096_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11610247.0	0.0	18-100	54.0	42.27504758955221	99.06112505616805	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_097_1	yl_097_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8478686.0	0.0	18-100	54.0	43.51364430744424	99.16300709803382	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_097_2	yl_097_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8478686.0	0.0	18-100	54.0	44.372724287571224	99.06594370873034	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_098_1	yl_098_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11158399.0	0.0	18-100	54.0	38.4549386970406	99.1755707964915	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_098_2	yl_098_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11158399.0	0.0	18-100	54.0	39.5067264986391	99.05322654262498	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_099_1	yl_099_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11851476.0	0.0	18-100	55.0	39.63335777304378	99.16603029023558	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_099_2	yl_099_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11851476.0	0.0	18-100	54.0	39.847979592163895	99.0545727806393	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_100_1	yl_100_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12215928.0	0.0	18-100	55.0	37.6133871299595	99.16971563683086	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_100_2	yl_100_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12215928.0	0.0	18-100	54.0	38.68652357747223	99.06040736323921	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
