	strain	modification	project	condition	reference_condition	mode	media	temperature	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_replicate_correlations	passed_curation
yl_000	W29	WT	Bram_RNASeq	Glucose_Nlimit	µ0.1_DO25	Shaken culture	Delft-N limited	30.0	True	True	True	Bram_RNASeq:Glucose_Nlimit	True	True
yl_001	W29	WT	Bram_RNASeq	Glucose_Nlimit	µ0.1_DO25	Shaken culture	Delft-N limited	30.0	True	True	True	Bram_RNASeq:Glucose_Nlimit	True	True
yl_002	W29	WT	Bram_RNASeq	Glucose_lowDO	µ0.1_DO25	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq:Glucose_lowDO	True	True
yl_003	W29	WT	Bram_RNASeq	Glucose_lowDO	µ0.1_DO25	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq:Glucose_lowDO	True	True
yl_004	W29	WT	Bram_RNASeq	Glucose_shaken_reference	µ0.1_DO25	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq:Glucose_shaken_reference	True	True
yl_005	W29	WT	Bram_RNASeq	Glucose_shaken_reference	µ0.1_DO25	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq:Glucose_shaken_reference	True	True
yl_006	W29	WT	Bram_RNASeq	High glucose_mediumDO_pH3	µ0.1_DO25	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq:High glucose_mediumDO_pH3	True	True
yl_007	W29	WT	Bram_RNASeq	High glucose_lowDO_pH3	µ0.1_DO25	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq:High glucose_lowDO_pH3	True	True
yl_008	W29	WT	Bram_RNASeq	High glucose_highDO_pH6	µ0.1_DO25	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq:High glucose_highDO_pH6	True	True
yl_009	W29	WT	Bram_RNASeq	High glucose_mediumDO_pH6	µ0.1_DO25	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq:High glucose_mediumDO_pH6	True	True
yl_010	W29	WT	Bram_RNASeq	High glucose_lowDO_pH6	µ0.1_DO25	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq:High glucose_lowDO_pH6	True	True
yl_012	W29	WT	Bram_RNASeq	Glucose_Nlimit_pH6	µ0.1_DO25	Shaken culture	Delft-N limited	30.0	True	True	True	Bram_RNASeq:Glucose_Nlimit_pH6	True	True
yl_013	W29	WT	Bram_RNASeq	Glucose_Plimit_pH6	µ0.1_DO25	Shaken culture	Delft-P limited	30.0	True	True	True	Bram_RNASeq:Glucose_Plimit_pH6	True	True
