	strain	modification	project	condition	reference_condition	mode	media	temperature	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_replicate_correlations
yl_000	W29	WT	Bram_RNASeq_Shaken	Glucose_Nlimit	Glucose_shaken_reference	Shaken culture	Delft-N limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_Nlimit	True
yl_001	W29	WT	Bram_RNASeq_Shaken	Glucose_Nlimit	Glucose_shaken_reference	Shaken culture	Delft-N limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_Nlimit	True
yl_002	W29	WT	Bram_RNASeq_Shaken	Glucose_lowDO	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_lowDO	True
yl_003	W29	WT	Bram_RNASeq_Shaken	Glucose_lowDO	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_lowDO	True
yl_004	W29	WT	Bram_RNASeq_Shaken	Glucose_shaken_reference	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_shaken_reference	True
yl_005	W29	WT	Bram_RNASeq_Shaken	Glucose_shaken_reference	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_shaken_reference	True
yl_006	W29	WT	Bram_RNASeq_Shaken	High glucose_mediumDO_pH3	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glucose_mediumDO_pH3	True
yl_007	W29	WT	Bram_RNASeq_Shaken	High glucose_lowDO_pH3	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glucose_lowDO_pH3	True
yl_008	W29	WT	Bram_RNASeq_Shaken	High glucose_highDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glucose_highDO_pH6	True
yl_009	W29	WT	Bram_RNASeq_Shaken	High glucose_mediumDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glucose_mediumDO_pH6	True
yl_010	W29	WT	Bram_RNASeq_Shaken	High glucose_lowDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glucose_lowDO_pH6	True
