	strain	modification	project	condition	reference_condition	mode	media	temperature	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_replicate_correlations
yl_012	W29	WT	Bram_RNASeq_Shaken	Glucose_Nlimit_pH6	Glucose_shaken_reference	Shaken culture	Delft-N limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_Nlimit_pH6	True
yl_013	W29	WT	Bram_RNASeq_Shaken	Glucose_Plimit_pH6	Glucose_shaken_reference	Shaken culture	Delft-P limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_Plimit_pH6	True
yl_014	W29	WT	Bram_RNASeq_Shaken	Glucose_Mglimit_pH3	Glucose_shaken_reference	Shaken culture	Delft-Mg limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_Mglimit_pH3	True
yl_015	W29	WT	Bram_RNASeq_Shaken	Glucose_Mglimit_pH6	Glucose_shaken_reference	Shaken culture	Delft-Mg limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_Mglimit_pH6	True
yl_017	W29	WT	Bram_RNASeq_Shaken	Glucose_mediumDO_pH3	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_mediumDO_pH3	True
yl_018	W29	WT	Bram_RNASeq_Shaken	Glucose_lowDO_pH3	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_lowDO_pH3	True
yl_019	W29	WT	Bram_RNASeq_Shaken	Glucose_highDO_ph6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_highDO_ph6	True
yl_020	W29	WT	Bram_RNASeq_Shaken	Glucose_mediumDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_mediumDO_pH6	True
yl_022	W29	WT	Bram_RNASeq_Shaken	High glycerol_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glycerol_pH6	True
yl_023	W29	WT	Bram_RNASeq_Shaken	Glycerol_Nlimit_pH6	Glucose_shaken_reference	Shaken culture	Delft-N limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glycerol_Nlimit_pH6	True
yl_024	W29	WT	Bram_RNASeq_Shaken	Glycerol_Plimit_pH6	Glucose_shaken_reference	Shaken culture	Delft-P limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glycerol_Plimit_pH6	True
yl_025	W29	WT	Bram_RNASeq_Shaken	Glycerol_highDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glycerol_highDO_pH6	True
yl_026	W29	WT	Bram_RNASeq_Shaken	Glycerol_lowDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glycerol_lowDO_pH6	True
yl_028	W29	WT	Bram_RNASeq_Shaken	High glucose_mediumDO_pH3	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glucose_mediumDO_pH3	True
yl_029	W29	WT	Bram_RNASeq_Shaken	High glucose_lowDO_pH3	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glucose_lowDO_pH3	True
yl_030	W29	WT	Bram_RNASeq_Shaken	High glucose_highDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glucose_highDO_pH6	True
yl_031	W29	WT	Bram_RNASeq_Shaken	High glucose_mediumDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glucose_mediumDO_pH6	True
yl_032	W29	WT	Bram_RNASeq_Shaken	High glucose_lowDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glucose_lowDO_pH6	True
yl_034	W29	WT	Bram_RNASeq_Shaken	Glucose_Nlimit_pH6	Glucose_shaken_reference	Shaken culture	Delft-N limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_Nlimit_pH6	True
yl_035	W29	WT	Bram_RNASeq_Shaken	Glucose_Plimit_pH6	Glucose_shaken_reference	Shaken culture	Delft-P limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_Plimit_pH6	True
yl_036	W29	WT	Bram_RNASeq_Shaken	Glucose_Mglimit_pH3	Glucose_shaken_reference	Shaken culture	Delft-Mg limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_Mglimit_pH3	True
yl_037	W29	WT	Bram_RNASeq_Shaken	Glucose_Mglimit_pH6	Glucose_shaken_reference	Shaken culture	Delft-Mg limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_Mglimit_pH6	True
yl_039	W29	WT	Bram_RNASeq_Shaken	Glucose_mediumDO_pH3	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_mediumDO_pH3	True
yl_040	W29	WT	Bram_RNASeq_Shaken	Glucose_lowDO_pH3	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_lowDO_pH3	True
yl_041	W29	WT	Bram_RNASeq_Shaken	Glucose_highDO_ph6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_highDO_ph6	True
yl_042	W29	WT	Bram_RNASeq_Shaken	Glucose_mediumDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glucose_mediumDO_pH6	True
yl_044	W29	WT	Bram_RNASeq_Shaken	High glycerol_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:High glycerol_pH6	True
yl_045	W29	WT	Bram_RNASeq_Shaken	Glycerol_Nlimit_pH6	Glucose_shaken_reference	Shaken culture	Delft-N limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glycerol_Nlimit_pH6	True
yl_046	W29	WT	Bram_RNASeq_Shaken	Glycerol_Plimit_pH6	Glucose_shaken_reference	Shaken culture	Delft-P limited	30.0	True	True	True	Bram_RNASeq_Shaken:Glycerol_Plimit_pH6	True
yl_048	W29	WT	Bram_RNASeq_Shaken	Glycerol_highDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glycerol_highDO_pH6	True
yl_049	W29	WT	Bram_RNASeq_Shaken	Glycerol_lowDO_pH6	Glucose_shaken_reference	Shaken culture	Delft	30.0	True	True	True	Bram_RNASeq_Shaken:Glycerol_lowDO_pH6	True
yl_050	W29	WT	Bram_RNASeq_continuous_u_W29	µ0	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0	True
yl_051	W29	WT	Bram_RNASeq_continuous_u_W29	µ0	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0	True
yl_052	W29	WT	Bram_RNASeq_continuous_u_W29	µ0.05	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0.05	True
yl_053	W29	WT	Bram_RNASeq_continuous_u_W29	µ0.05	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0.05	True
yl_054	W29	WT	Bram_RNASeq_continuous_u_W29	µ0.1	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0.1	True
yl_055	W29	WT	Bram_RNASeq_continuous_u_W29	µ0.1	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0.1	True
yl_056	W29	WT	Bram_RNASeq_continuous_u_W29	µ0.15	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0.15	True
yl_057	W29	WT	Bram_RNASeq_continuous_u_W29	µ0.15	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0.15	True
yl_058	W29	WT	Bram_RNASeq_continuous_u_W29	µ0.2	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0.2	True
yl_059	W29	WT	Bram_RNASeq_continuous_u_W29	µ0.2	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0.2	True
yl_060	W29	WT	Bram_RNASeq_continuous_u_W29	µ0.25	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0.25	True
yl_061	W29	WT	Bram_RNASeq_continuous_u_W29	µ0.25	µ0.1	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_W29:µ0.25	True
yl_064	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0_ST8712	True
yl_065	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0_ST8712	True
yl_066	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0.05_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0.05_ST8712	True
yl_067	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0.05_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0.05_ST8712	True
yl_068	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0.075_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0.075_ST8712	True
yl_069	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0.075_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0.075_ST8712	True
yl_070	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0.1_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0.1_ST8712	True
yl_071	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0.1_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0.1_ST8712	True
yl_072	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0.125_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0.125_ST8712	True
yl_073	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0.125_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0.125_ST8712	True
yl_074	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0.15_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0.15_ST8712	True
yl_075	ST8712	WT	Bram_RNASeq_continuous_u_ST	µ0.15_ST8712	µ0.1_ST8712	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_u_ST:µ0.15_ST8712	True
yl_076	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO50	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO50	True
yl_077	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO50	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO50	True
yl_078	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO25	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO25	True
yl_079	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO25	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO25	True
yl_080	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO10	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO10	True
yl_081	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO10	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO10	True
yl_082	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO5	True
yl_083	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO5	True
yl_084	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO2.5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO2.5	True
yl_085	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO2.5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO2.5	True
yl_086	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO0	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO0	True
yl_087	W29	WT	Bram_RNASeq_continuous_DO	µ0.1_DO0	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.1_DO0	True
yl_088	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO50	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO50	True
yl_089	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO50	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO50	True
yl_090	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO25	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO25	True
yl_091	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO25	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO25	True
yl_092	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO10	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO10	True
yl_093	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO10	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO10	True
yl_094	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO5	True
yl_095	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO5	True
yl_096	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO2.5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO2.5	True
yl_097	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO2.5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO2.5	True
yl_098	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO0	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO0	True
yl_099	W29	WT	Bram_RNASeq_continuous_DO	µ0.2_DO0	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.2_DO0	True
yl_100	W29	WT	Bram_RNASeq_continuous_DO	µ0.05_DO50	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.05_DO50	True
yl_101	W29	WT	Bram_RNASeq_continuous_DO	µ0.05_DO50	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.05_DO50	True
yl_104	W29	WT	Bram_RNASeq_continuous_DO	µ0.05_DO10	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.05_DO10	True
yl_105	W29	WT	Bram_RNASeq_continuous_DO	µ0.05_DO10	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.05_DO10	True
yl_106	W29	WT	Bram_RNASeq_continuous_DO	µ0.05_DO5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.05_DO5	True
yl_107	W29	WT	Bram_RNASeq_continuous_DO	µ0.05_DO5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.05_DO5	True
yl_108	W29	WT	Bram_RNASeq_continuous_DO	µ0.05_DO2.5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.05_DO2.5	True
yl_109	W29	WT	Bram_RNASeq_continuous_DO	µ0.05_DO2.5	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.05_DO2.5	True
yl_110	W29	WT	Bram_RNASeq_continuous_DO	µ0.05_DO0	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.05_DO0	True
yl_111	W29	WT	Bram_RNASeq_continuous_DO	µ0.05_DO0	µ0.1_DO25	Continuous	Delft	30.0	True	True	True	Bram_RNASeq_continuous_DO:µ0.05_DO0	True
yl_154	W29	WT	Environmental stress	Control	Control	Continuous			True	True	True	Environmental stress:Control	True
yl_155	W29	WT	Environmental stress	Control	Control	Continuous			True	True	True	Environmental stress:Control	True
yl_156	W29	WT	Environmental stress	Control	Control	Continuous			True	True	True	Environmental stress:Control	True
yl_157	W29	WT	Environmental stress	Control	Control	Continuous			True	True	True	Environmental stress:Control	True
yl_159	W29	WT	Environmental stress	High temp	Control	Continuous			True	True	True	Environmental stress:High temp	True
yl_160	W29	WT	Environmental stress	High temp	Control	Continuous			True	True	True	Environmental stress:High temp	True
yl_161	W29	WT	Environmental stress	low pH	Control	Continuous			True	True	True	Environmental stress:low pH	True
yl_162	W29	WT	Environmental stress	low pH	Control	Continuous			True	True	True	Environmental stress:low pH	True
yl_163	W29	WT	Environmental stress	low pH	Control	Continuous			True	True	True	Environmental stress:low pH	True
yl_164	W29	WT	Environmental stress	low pH	Control	Continuous			True	True	True	Environmental stress:low pH	True
yl_177	W29	WT	O2_oscillations_1	Single_oscillation_#1.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single_oscillation_#1.1_DO40	True
yl_178	W29	WT	O2_oscillations_1	Single_oscillation_#1.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single_oscillation_#1.1_DO40	True
yl_179	W29	WT	O2_oscillations_1	Single_oscillation_#1.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single_oscillation_#1.1_DO40	True
yl_180	W29	WT	O2_oscillations_1	Single_oscillation_#1.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single_oscillation_#1.1_DO40	True
yl_181	W29	WT	O2_oscillations_1	Single oscillation_#2.1_DO0	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single oscillation_#2.1_DO0	True
yl_182	W29	WT	O2_oscillations_1	Single oscillation_#2.1_DO0	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single oscillation_#2.1_DO0	True
yl_183	W29	WT	O2_oscillations_1	Single oscillation_#2.1_DO0	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single oscillation_#2.1_DO0	True
yl_184	W29	WT	O2_oscillations_1	Single oscillation_#2.1_DO0	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single oscillation_#2.1_DO0	True
yl_185	W29	WT	O2_oscillations_1	Single oscillation_#3.1_DO34	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single oscillation_#3.1_DO34	True
yl_186	W29	WT	O2_oscillations_1	Single oscillation_#3.1_DO34	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single oscillation_#3.1_DO34	True
yl_187	W29	WT	O2_oscillations_1	Single oscillation_#3.1_DO34	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single oscillation_#3.1_DO34	True
yl_188	W29	WT	O2_oscillations_1	Single oscillation_#3.1_DO34	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single oscillation_#3.1_DO34	True
yl_189	W29	WT	O2_oscillations_1	Single_oscillation_#4.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single_oscillation_#4.1_DO40	True
yl_190	W29	WT	O2_oscillations_1	Single_oscillation_#4.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single_oscillation_#4.1_DO40	True
yl_191	W29	WT	O2_oscillations_1	Single_oscillation_#4.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single_oscillation_#4.1_DO40	True
yl_192	W29	WT	O2_oscillations_1	Single_oscillation_#4.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Single_oscillation_#4.1_DO40	True
yl_193	W29	WT	O2_oscillations_1	Repeated_oscillation_#5.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Repeated_oscillation_#5.1_DO40	True
yl_194	W29	WT	O2_oscillations_1	Repeated_oscillation_#5.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Repeated_oscillation_#5.1_DO40	True
yl_195	W29	WT	O2_oscillations_1	Repeated_oscillation_#5.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Repeated_oscillation_#5.1_DO40	True
yl_196	W29	WT	O2_oscillations_1	Repeated_oscillation_#5.1_DO40	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Repeated_oscillation_#5.1_DO40	True
yl_197	W29	WT	O2_oscillations_1	Repeated_oscillation_#6.1_DO0	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Repeated_oscillation_#6.1_DO0	True
yl_198	W29	WT	O2_oscillations_1	Repeated_oscillation_#6.1_DO0	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Repeated_oscillation_#6.1_DO0	True
yl_199	W29	WT	O2_oscillations_1	Repeated_oscillation_#6.1_DO0	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Repeated_oscillation_#6.1_DO0	True
yl_200	W29	WT	O2_oscillations_1	Repeated_oscillation_#6.1_DO0	Single_oscillation_#1.1_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_1:Repeated_oscillation_#6.1_DO0	True
yl_201	W29	WT	O2_oscillations_2	Single_oscillation_#1.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single_oscillation_#1.2_DO40	True
yl_202	W29	WT	O2_oscillations_2	Single_oscillation_#1.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single_oscillation_#1.2_DO40	True
yl_203	W29	WT	O2_oscillations_2	Single_oscillation_#1.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single_oscillation_#1.2_DO40	True
yl_204	W29	WT	O2_oscillations_2	Single_oscillation_#1.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single_oscillation_#1.2_DO40	True
yl_205	W29	WT	O2_oscillations_2	Single oscillation_#2.2_DO3	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single oscillation_#2.2_DO3	True
yl_206	W29	WT	O2_oscillations_2	Single oscillation_#2.2_DO3	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single oscillation_#2.2_DO3	True
yl_207	W29	WT	O2_oscillations_2	Single oscillation_#2.2_DO3	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single oscillation_#2.2_DO3	True
yl_208	W29	WT	O2_oscillations_2	Single oscillation_#2.2_DO3	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single oscillation_#2.2_DO3	True
